date,AAPL,XOM,JPM,WMT,PFE,AMZN,BAC,T
2025-09-24,251.381393,111.333260,307.536591,101.872284,22.511236,220.210007,50.620972,27.044708
2025-09-25,255.924606,112.334251,307.566040,102.189606,22.053350,218.149994,50.767830,27.025606
2025-09-26,254.519806,113.918335,310.127045,102.298698,22.202864,219.779999,51.120319,27.035156
2025-09-29,253.493607,111.002846,309.764008,102.219360,22.286964,222.169998,51.325939,26.805965
2025-09-30,253.692856,109.574249,309.508850,102.199532,23.810141,219.570007,50.513264,26.968309
2025-10-01,254.509842,108.835640,304.877472,101.108704,25.426765,220.630005,49.622257,26.309380
2025-10-02,256.183685,108.155373,301.776764,100.850876,25.305285,222.410004,49.426430,25.793697
2025-10-03,257.070374,110.069885,304.210236,101.217789,25.576279,219.509995,49.583092,25.841446
2025-10-06,255.745285,110.983406,304.851105,101.842529,24.697884,220.899994,49.338310,24.705034
2025-10-07,255.536072,111.041718,303.381989,102.378021,24.548368,221.779999,49.240395,24.981976
2025-10-08,257.110229,110.808479,299.773224,102.040871,23.997034,225.220001,48.799786,25.067921
2025-10-09,253.105026,109.729744,301.252228,100.920288,23.585869,227.740005,48.750828,24.924677
2025-10-10,244.367310,107.611145,296.677246,100.989716,23.156017,216.369995,47.634624,24.971008
2025-10-13,246.748520,109.078613,303.658081,101.267372,23.109293,220.070007,47.840240,24.700739
2025-10-14,246.858124,109.127197,297.850525,106.314880,22.913057,216.389999,49.044571,25.221972
2025-10-15,248.422318,108.466354,301.409973,108.119675,22.791576,215.570007,51.188862,25.164057
2025-10-16,246.539291,107.523674,294.360107,105.581055,22.642059,214.470001,49.387260,25.289541
2025-10-17,251.361481,109.078613,293.393829,106.830536,22.903711,213.039993,50.209732,25.424675
2025-10-20,261.274841,109.525650,298.126587,106.156212,23.071915,216.479996,50.953869,25.193016
2025-10-21,261.802887,109.535370,292.930389,105.333145,23.221428,222.029999,50.444725,25.144754
2025-10-22,257.498810,111.479042,289.992126,106.245461,23.099947,217.949997,50.033485,24.662128
2025-10-23,258.624603,112.713280,290.416107,105.967804,23.053225,221.089996,50.679714,23.764446
